                               Labor Force Data by County, 2010 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2010        25,827       23,840      1,987      7.7
CN0100300000000   01     003   Baldwin County, AL                                2010        83,213       75,962      7,251      8.7
CN0100500000000   01     005   Barbour County, AL                                2010         9,844        8,713      1,131     11.5
CN0100700000000   01     007   Bibb County, AL                                   2010         9,123        8,199        924     10.1
CN0100900000000   01     009   Blount County, AL                                 2010        26,149       23,852      2,297      8.8
CN0101100000000   01     011   Bullock County, AL                                2010         3,746        3,206        540     14.4
CN0101300000000   01     013   Butler County, AL                                 2010         9,119        8,017      1,102     12.1
CN0101500000000   01     015   Calhoun County, AL                                2010        53,786       48,664      5,122      9.5
CN0101700000000   01     017   Chambers County, AL                               2010        14,305       12,386      1,919     13.4
CN0101900000000   01     019   Cherokee County, AL                               2010        11,671       10,608      1,063      9.1
CN0102100000000   01     021   Chilton County, AL                                2010        19,764       17,977      1,787      9.0
CN0102300000000   01     023   Choctaw County, AL                                2010         5,084        4,522        562     11.1
CN0102500000000   01     025   Clarke County, AL                                 2010        10,287        8,710      1,577     15.3
CN0102700000000   01     027   Clay County, AL                                   2010         5,455        4,714        741     13.6
CN0102900000000   01     029   Cleburne County, AL                               2010         6,487        5,959        528      8.1
CN0103100000000   01     031   Coffee County, AL                                 2010        21,672       20,091      1,581      7.3
CN0103300000000   01     033   Colbert County, AL                                2010        25,076       22,676      2,400      9.6
CN0103500000000   01     035   Conecuh County, AL                                2010         4,672        3,923        749     16.0
CN0103700000000   01     037   Coosa County, AL                                  2010         4,672        4,087        585     12.5
CN0103900000000   01     039   Covington County, AL                              2010        16,637       15,154      1,483      8.9
CN0104100000000   01     041   Crenshaw County, AL                               2010         6,549        5,991        558      8.5
CN0104300000000   01     043   Cullman County, AL                                2010        38,414       35,154      3,260      8.5
CN0104500000000   01     045   Dale County, AL                                   2010        20,550       18,844      1,706      8.3
CN0104700000000   01     047   Dallas County, AL                                 2010        15,290       12,669      2,621     17.1
CN0104900000000   01     049   DeKalb County, AL                                 2010        29,922       26,508      3,414     11.4
CN0105100000000   01     051   Elmore County, AL                                 2010        35,776       32,783      2,993      8.4
CN0105300000000   01     053   Escambia County, AL                               2010        14,679       13,084      1,595     10.9
CN0105500000000   01     055   Etowah County, AL                                 2010        45,239       41,035      4,204      9.3
CN0105700000000   01     057   Fayette County, AL                                2010         6,758        5,982        776     11.5
CN0105900000000   01     059   Franklin County, AL                               2010        13,342       12,008      1,334     10.0
CN0106100000000   01     061   Geneva County, AL                                 2010        11,226       10,243        983      8.8
CN0106300000000   01     063   Greene County, AL                                 2010         3,237        2,686        551     17.0
CN0106500000000   01     065   Hale County, AL                                   2010         5,879        5,106        773     13.1
CN0106700000000   01     067   Henry County, AL                                  2010         7,218        6,554        664      9.2
CN0106900000000   01     069   Houston County, AL                                2010        45,836       42,062      3,774      8.2
CN0107100000000   01     071   Jackson County, AL                                2010        26,399       23,883      2,516      9.5
CN0107300000000   01     073   Jefferson County, AL                              2010       304,414      276,382     28,032      9.2
CN0107500000000   01     075   Lamar County, AL                                  2010         5,314        4,642        672     12.6
CN0107700000000   01     077   Lauderdale County, AL                             2010        44,540       40,693      3,847      8.6
CN0107900000000   01     079   Lawrence County, AL                               2010        15,548       13,862      1,686     10.8
CN0108100000000   01     081   Lee County, AL                                    2010        66,025       60,808      5,217      7.9
